#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
gfz2022igzw|2022-04-28T16:10:10.18|51.205000|15.821000|10.0|||GFZ|gfz2022igzw|M|2.99||Poland|
gfz2022ifjt|2022-04-27T18:53:25.95|51.555000|16.147000|2.0|||GFZ|gfz2022ifjt|mb|4.49||Poland|
gfz2022gzmh|2022-04-10T07:49:00.54|51.271000|15.927000|10.0|||GFZ|gfz2022gzmh|M|3.0||Poland|
gfz2022gurx|2022-04-07T16:58:46.07|51.557000|16.059000|5.0|||GFZ|gfz2022gurx|mb|4.4||Poland|
gfz2022gszv|2022-04-06T18:43:09.94|51.607000|16.193000|1.0|||GFZ|gfz2022gszv|ML|3.71||Poland|
gfz2022gsgf|2022-04-06T08:48:11.04|51.575000|16.211000|5.0|||GFZ|gfz2022gsgf|MLv|3.29||Poland|
gfz2022ghrt|2022-03-31T14:07:49.7|51.523000|16.160000|10.0|||GFZ|gfz2022ghrt|ML|3.3||Poland|
gfz2022cwow|2022-02-10T19:34:24.31|51.462000|15.932000|10.0|||GFZ|gfz2022cwow|M|3.68||Poland|
gfz2022cmiy|2022-02-05T05:19:01.7|51.551000|16.128000|1.0|||GFZ|gfz2022cmiy|ML|4.47||Poland|
gfz2022awwg|2022-01-13T12:14:01.98|51.533000|16.170000|5.0|||GFZ|gfz2022awwg|mb|4.21||Poland|
gfz2021ycmw|2021-12-09T21:37:34.67|51.474000|16.223000|10.0|||GFZ|gfz2021ycmw|M|4.22||Poland|
gfz2021vpiz|2021-11-04T05:50:07.39|51.641000|16.189000|10.0|||GFZ|gfz2021vpiz|M|3.57||Poland|
gfz2021vhrv|2021-10-31T01:13:06.15|51.548000|15.891000|10.0|||GFZ|gfz2021vhrv|M|2.98||Poland|
gfz2021uiyv|2021-10-17T12:20:55.67|51.563000|16.169000|10.0|||GFZ|gfz2021uiyv|M|4.3||Poland|
